Title,Surname,First Name,Other Names,Prefered Name,Initials,Honorifics,Salutation,Gender,Political Party,State,Electorate AddressLine1,Electorate AddressLine2,Electorate Suburb,Electorate State,Electorate Postcode,Label Address,Label Suburb,Label State,Label Postcode,Electorate Fax,Electorate Telephone,Electorate Toll Free,Parliamentary Titles
Senator,McEwen,Anne,,Anne,A.,,Senator,FEMALE,ALP,SA,Ground Floor,101 Henley Beach Road,Mile End,SA,5031,PO Box 55,Torrensville Plaza,SA,5031,(08) 8234 1165,(08) 8352 7477,1300 889 477,Opposition Whip in the Senate
Senator,McGrath,James,,James,J.,,Senator,MALE,LP,Qld,"Tenancy 64, Level 3",52-64 Currie Street,Nambour,Qld,4560,PO Box 772,Nambour,Qld,4560,(07) 5441 1699,(07) 5441 1800,1300 769 412,
Senator,McKenzie,Bridget,,Bridget,B.,,Senator,FEMALE,Nats,Vic,279 Hargreaves Street,,Bendigo,Vic,3550,"PO Box 2047, Delivery Centre,",Bendigo,Vic,3554,(03) 5441 4260,(03) 5441 4251,1300 889 103,
Senator the Hon,McLucas,Jan,,Jan,J.,,Senator,FEMALE,ALP,Qld,MacDonnells Solicitors Building,Cnr Shields and Grafton Streets,Cairns,Qld,4870,PO Box 2733,Cairns,Qld,4870,(07) 4031 6167,(07) 4031 6009,1300 301 959,
Senator,Milne,Christine,,Christine,C.,,Senator,FEMALE,AG,Tas,"Level 1, Murray Street Pier",Murray Street,Hobart,Tas,7000,GPO Box 896,Hobart,Tas,7001,(03) 6224 7599,(03) 6224 8899,1300 131 720,
Senator,Moore,Claire,Mary,Claire,C. M.,,Senator,FEMALE,ALP,Qld,"Suite 14 B, 1st Floor Brunswick Central",421 Brunswick Street,Fortitude Valley,Qld,4006,"PO Box 907, Fortitude Valley Post Shop",Fortitude Valley,Qld,4006,(07) 3252 8957,(07) 3252 7101,1300 301 879,
Senator,Muir,Ricky,Lee,Ricky,R.L.,,Senator,MALE,AMEP,Vic,81 Pearson Street,,Sale,Vic,3850,PO Box 9168,Sale,Vic,3850,(03) 5144 3639,(03) 5144 4121 ,1300 965 848,
Senator the Hon,Nash,Fiona,,Fiona,F.,,Senator,FEMALE,Nats,NSW,79 Main Street,,Young,NSW,2594,79 Main Street,Young,NSW,2594,(02) 6382 3499,(02) 6382 3400,,"Deputy Leader of The Nationals in the Senate, Assistant Minister for Health"
Senator,O'Neill,Deborah,,Deborah,D.,,Senator,FEMALE,ALP,NSW,"Suite 3.12, The Platinum Building",4 Ilya Avenue,Erina,NSW,2250,"Suite 3.12, The Platinum Building, 4 Ilya Avenue",Erina,NSW,2250,(02) 4367 3506,(02) 4367 4565,,
Senator,O'Sullivan,Barry,James,Barry,B. J.,,Senator,MALE,Nats,Qld,"Tenancy A, Ground floor",189 Hume Street,Toowoomba,Qld,4350,PO Box 3135,Toowoomba,Qld,4350,(07) 4638 7199,(07) 4638 7555,,Nationals Whip in the Senate
Senator the Hon,Parry,Stephen,,Stephen,S.,,Senator,MALE,LP,Tas,33 George Street,,Launceston,Tas,7250,33 George Street,Launceston,Tas,7250,(03) 6334 1624,(03) 6334 1755,1300 760 788,President of the Senate
Senator the Hon,Payne,Marise,Ann,Marise,M. A.,,Senator,FEMALE,LP,NSW,2-12 Macquarie Street,,Parramatta,NSW,2150,PO Box 1420,Parramatta,NSW,2150,(02) 9687 8466,(02) 9687 8755,,Minister for Human Services
Senator,Peris,Nova,Maree,Nova,N. M.,OAM,Senator,FEMALE,ALP,NT,38B Mitchell Street,,Darwin,NT,800,GPO Box 1596,Darwin,NT,801,(08) 8941 0071,(08) 8941 0003,,
Senator,Polley,Helen,,Helen,H.,,Senator,FEMALE,ALP,Tas,"'The Charles', Suite 101",287 Charles Street,Launceston,Tas,7250,PO Box 1223,Launceston,Tas,7250,(03) 6331 2588,(03) 6331 2599,1300 134 923,
Senator,Reynolds,Linda,Karen,Linda,L.K.,CSC,Senator,FEMALE,LP,WA,26 Charles Street,,South Perth,WA,6151,PO Box 984,South Perth,WA,6951,(08) 9368 6699,(08) 9368 6633,,
Senator,Rhiannon,Lee,,Lee,L.,,Senator,FEMALE,AG,NSW,72 Campbell Street,,Surry Hills,NSW,2010,72 Campbell Street,Surry Hills,NSW,2010,(02) 9211 3312,(02) 9211 9523,1300 887 869,
Senator,Rice,Janet,Elizabeth,Janet,J.E.,,Senator,FEMALE,AG,Vic,1/240 Sydney Road,,Coburg,Vic,3058,1/240 Sydney Road,Coburg,Vic,3058,(03) 9384 6399,(03) 9384 6199,1300 784 377,
Senator the Hon,Ronaldson,Michael,,Michael,M.,,Senator,MALE,LP,Vic,Level 14,90 Collins Street,Melbourne,Vic,3000,"Level 14, 90 Collins Street",Melbourne,Vic,3000,(03) 9650 9031,(03) 9650 0255,,"Minister for Veterans' Affairs, Minister Assisting the Prime Minister for the Centenary of ANZAC, Special Minister of State"
Senator,Ruston,Anne,,Anne,A.,,Senator,FEMALE,LP,SA,9 Renmark Avenue,,Renmark,SA,5341,PO Box 1671,Renmark,SA,5341,(08) 8595 1700,(08) 8586 6600,1300 857 022,Deputy Government Whip in the Senate
Senator the Hon,Ryan,Scott,Michael,Scott,S.M.,,Senator,MALE,LP,Vic,12 Pascoe Vale Road,,Moonee Ponds,Vic,3039,PO Box 556,Moonee Ponds,Vic,3039,(03) 9370 9120,(03) 9326 1088,,Parliamentary Secretary to the Minister for Education and Training
Senator the Hon,Scullion,Nigel,Gregory,Nigel,N. G.,,Senator,MALE,CLP,NT,Ministerial Office: 1/82 Todd Street,,Alice Springs,NT,870,PO Box 4449,Alice Springs,NT,871,(08) 8952 1195,(08) 8952 1131,,"Minister for Indigenous Affairs, Leader of The Nationals in the Senate"
Senator the Hon,Scullion,Nigel,Gregory,Nigel,N. G.,,Senator,MALE,CLP,NT,"Unit 1, 229 McMillans Road",,Jingili,NT,810,"Unit 1, 229 McMillans Road",Jingili,NT,810,(08) 8948 3544,(08) 8948 3555,,"Minister for Indigenous Affairs, Leader of The Nationals in the Senate"
Senator,Seselja,Zdenko,Matthew,Zed,Z. M.,,Senator,MALE,LP,ACT,"Shop B12, Canberra Centre",Bunda Street,Canberra,ACT,2600,"Shop B12, Canberra Centre, Bunda Street",Canberra,ACT,2600,(02) 6257 4140,(02) 6247 6444,,
Senator,Siewert,Rachel,,Rachel,R.,,Senator,FEMALE,AG,WA,"Unit 1, 151 Brisbane Street",,Northbridge,WA,6003,"Unit 1, 151 Brisbane Street",Northbridge,WA,6003,(08) 9228 4055,(08) 9228 3277,1300 881 218,Australian Greens Whip
Senator the Hon,Singh,Lisa,Maria,Lisa,L. M.,,Senator,FEMALE,ALP,Tas,152 Macquarie Street,,Hobart,Tas,7000,152 Macquarie Street,Hobart,Tas,7000,(03) 6223 1250,(03) 6223 1135,,
Senator the Hon,Sinodinos,Arthur,,Arthur,A,AO,Senator,MALE,LP,NSW,Level 28,123 Pitt Street,Sydney,NSW,2000,"Level 28, 123 Pitt Street",Sydney,NSW,2000,(02) 9223 4399,(02) 9223 4388,,
Senator,Smith,Dean,Anthony,Dean,D. A.,,Senator,MALE,LP,WA,48 Ventnor Avenue,,West Perth,WA,6005,PO Box 930,West Perth,WA,6872,08 9321 4876,08 9481 0349,1300 301 849,
Senator,Sterle,Glenn,,Glenn,G.,,Senator,MALE,ALP,WA,6a Market City,280 Ranford Road,Canning Vale,WA,6155,"Mailpoint 22, Market City, 280 Bannister Road",Canning Vale,WA,6155,(08) 9455 1421,(08) 9455 1420,1300 666 494,
Senator,Urquhart,Anne,Elizabeth,Anne,A. E.,,Senator,FEMALE,ALP,Tas,Ground Floor,69 Best Street,Devonport,Tas,7310,PO Box 360,Devonport,Tas,7310,(03) 6423 3544,(03) 6423 1933,1300 792 331,Deputy Opposition Whip in the Senate
Senator,Wang,Zhenya,,Zhenya,Z.,,Senator,MALE,PUP,WA,Unit 4 and 5,162 Colin Street,West Perth,WA,6005,PO Box 6,West Perth,WA,6872,(08) 9486 9650,(08) 9486 4526,,
Senator,Waters,Larissa,Joy,Larissa,L. J.,,Senator,FEMALE,AG,Qld,Level 1,251 Given Terrace,Paddington,Qld,4064,Locked bag 3004,Paddington,Qld,4064,(07) 3367 0577,(07) 3367 0566,,Co-Deputy Leader of the Australian Greens
Senator,Whish-Wilson,Peter,Stuart,Peter,P. S.,,Senator,MALE,AG,Tas,37 George Street,,Launceston,Tas,7250,PO Box 5194,Launceston,Tas,7250,(03) 6331 2044,(03) 6331 0033,,
Senator,Williams,John,Reginal,John,J. R.,,Senator,MALE,Nats,NSW,144 Byron Street,,Inverell,NSW,2360,144 Byron Street,Inverell,NSW,2360,(02) 6721 4544,(02) 6721 4500,1300 301 816,
Senator the Hon,Wong,Penny,,Penny,P.,,Senator,FEMALE,ALP,SA,Level 4,19 Gouger Street,Adelaide,SA,5000,"PO Box 6237, Halifax Street",Adelaide,SA,5000,(08) 8212 8273,(08) 8212 8272,1300 301 698,Leader of the Opposition in the Senate
Senator,Wright,Penelope,Lesley,Penny,P.L.,,Senator,FEMALE,AG,SA,Level 3,27 Leigh Street,Adelaide,SA,5000,PO Box 8117,"Station Arcade, Adelaide",SA,5000,(08) 8410 4599,(08) 8410 4588,,
Senator,Xenophon,Nicholas,,Nick,N.,,Senator,MALE,Ind.,SA,Level 2,31 Ebenezer Place,Adelaide,SA,5000,"Level 2, 31 Ebenezer Place",Adelaide,SA,5000,(08) 8232 3744,(08) 8232 1144,1300 556 115,
